source,target,type,weight
ITA-1.6.23,ITA-1.6.27,SAME_CHAPTER,0.5
ITA-1.6.23,ITA-1.6.28,SAME_CHAPTER,0.5
ITA-2.1.1,ITA-2.1.2,SAME_CHAPTER,0.5
ITA-2.1.1,ITA-2.1.1.1,SAME_CHAPTER,0.5
ITA-2.1.1,ITA-2.1.1.2,SAME_CHAPTER,0.5
ITA-2.1.1,ITA-2.1.1.3,SAME_CHAPTER,0.5
ITA-2.1.1,ITA-2.1.1.4,SAME_CHAPTER,0.5
ITA-2.1.2,ITA-2.1.1.1,SAME_CHAPTER,0.5
ITA-2.1.2,ITA-2.1.1.2,SAME_CHAPTER,0.5
ITA-2.1.2,ITA-2.1.1.3,SAME_CHAPTER,0.5
ITA-2.1.2,ITA-2.1.1.4,SAME_CHAPTER,0.5
ITA-2.1.2,ITA-2.1.1.5,SAME_CHAPTER,0.5
ITA-2.1.1.1,ITA-2.1.1.2,SAME_CHAPTER,0.5
ITA-2.1.1.1,ITA-2.1.1.3,SAME_CHAPTER,0.5
ITA-2.1.1.1,ITA-2.1.1.4,SAME_CHAPTER,0.5
ITA-2.1.1.1,ITA-2.1.1.5,SAME_CHAPTER,0.5
ITA-2.1.1.1,ITA-2.1.1.6,SAME_CHAPTER,0.5
ITA-2.1.1.2,ITA-2.1.1.3,SAME_CHAPTER,0.5
ITA-2.1.1.2,ITA-2.1.1.4,SAME_CHAPTER,0.5
ITA-2.1.1.2,ITA-2.1.1.5,SAME_CHAPTER,0.5
ITA-2.1.1.2,ITA-2.1.1.6,SAME_CHAPTER,0.5
ITA-2.1.1.2,ITA-2.1.1.7,SAME_CHAPTER,0.5
ITA-2.1.1.3,ITA-2.1.1.4,SAME_CHAPTER,0.5
ITA-2.1.1.3,ITA-2.1.1.5,SAME_CHAPTER,0.5
ITA-2.1.1.3,ITA-2.1.1.6,SAME_CHAPTER,0.5
ITA-2.1.1.3,ITA-2.1.1.7,SAME_CHAPTER,0.5
ITA-2.1.1.3,ITA-2.1.1.8,SAME_CHAPTER,0.5
ITA-2.1.1.4,ITA-2.1.1.5,SAME_CHAPTER,0.5
ITA-2.1.1.4,ITA-2.1.1.6,SAME_CHAPTER,0.5
ITA-2.1.1.4,ITA-2.1.1.7,SAME_CHAPTER,0.5
ITA-2.1.1.4,ITA-2.1.1.8,SAME_CHAPTER,0.5
ITA-2.1.1.4,ITA-2.1.1.9,SAME_CHAPTER,0.5
ITA-2.1.1.5,ITA-2.1.1.6,SAME_CHAPTER,0.5
ITA-2.1.1.5,ITA-2.1.1.7,SAME_CHAPTER,0.5
ITA-2.1.1.5,ITA-2.1.1.8,SAME_CHAPTER,0.5
ITA-2.1.1.5,ITA-2.1.1.9,SAME_CHAPTER,0.5
ITA-2.1.1.5,ITA-2.1.1.10,SAME_CHAPTER,0.5
ITA-2.1.1.6,ITA-2.1.1.7,SAME_CHAPTER,0.5
ITA-2.1.1.6,ITA-2.1.1.8,SAME_CHAPTER,0.5
ITA-2.1.1.6,ITA-2.1.1.9,SAME_CHAPTER,0.5
ITA-2.1.1.6,ITA-2.1.1.10,SAME_CHAPTER,0.5
ITA-2.1.1.6,ITA-2.1.1.11,SAME_CHAPTER,0.5
ITA-2.1.1.7,ITA-2.1.1.8,SAME_CHAPTER,0.5
ITA-2.1.1.7,ITA-2.1.1.9,SAME_CHAPTER,0.5
ITA-2.1.1.7,ITA-2.1.1.10,SAME_CHAPTER,0.5
ITA-2.1.1.7,ITA-2.1.1.11,SAME_CHAPTER,0.5
ITA-2.1.1.7,ITA-2.1.1.12,SAME_CHAPTER,0.5
ITA-2.1.1.8,ITA-2.1.1.9,SAME_CHAPTER,0.5
ITA-2.1.1.8,ITA-2.1.1.10,SAME_CHAPTER,0.5
ITA-2.1.1.8,ITA-2.1.1.11,SAME_CHAPTER,0.5
ITA-2.1.1.8,ITA-2.1.1.12,SAME_CHAPTER,0.5
ITA-2.1.1.8,ITA-2.1.1.13,SAME_CHAPTER,0.5
ITA-2.1.1.9,ITA-2.1.1.10,SAME_CHAPTER,0.5
ITA-2.1.1.9,ITA-2.1.1.11,SAME_CHAPTER,0.5
ITA-2.1.1.9,ITA-2.1.1.12,SAME_CHAPTER,0.5
ITA-2.1.1.9,ITA-2.1.1.13,SAME_CHAPTER,0.5
ITA-2.1.1.9,ITA-2.1.1.14,SAME_CHAPTER,0.5
ITA-2.1.1.10,ITA-2.1.1.11,SAME_CHAPTER,0.5
ITA-2.1.1.10,ITA-2.1.1.12,SAME_CHAPTER,0.5
