id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-5.14.4,Anaemic syndrome,kaphajapāṇḍurogaḥ,कफजपाण्डुरोगः,DISEASE,5,kapha,,high
ITA-5.14.5,Anaemic syndrome,sannipātajapāṇḍurogaḥ,सन्निपातजपाण्डुरोगः,DISEASE,5,,,medium
ITA-5.14.6,Anaemic syndrome,mṛdbhakṣaṇajanya/,मृद्भक्षणजञ/,DISEASE,5,,,medium
ITA-5.15.1,Jaundice,kāmalā,कामला,DISEASE,5,,,medium
ITA-5.15.2,Jaundice affecting,koṣṭhāśritakāmalā,कोष्ठाश्रितकामला,DISEASE,5,,,medium
ITA-5.15.3,Jaundice affecting,śākhāśritakāmalā,शाखाश्रितकामला,DISEASE,5,,,medium
ITA-5.15.4,Advanced stage of,kumbhakāmalā,कुम्भकामला,DISEASE,5,,,medium
ITA-5.15.5,Advanced stage,halīmakaḥ (loḍharaḥ),हलीमकः (लोढरः),DISEASE,5,,,medium
ITA-5.16.1,Haemorrhage from,raktapittam,रक्तपित्तम,DISEASE,5,pitta,rakta,high
ITA-5.16.2,Haemorrhage due to,vātajaraktapittam,वातजरक्तपित्तम,DISEASE,5,vata|pitta,rakta,high
ITA-5.16.3,Haemorrhage due to,pittajaraktapittam,पित्तजरक्तपित्तम,DISEASE,5,pitta,rakta,high
ITA-5.16.4,Haemorrhage due to,kaphajaraktapittam,कफजरक्तपित्तम,DISEASE,5,pitta|kapha,rakta,high
ITA-5.16.5,Haemorrhage due to,sannipātikaraktapittam,सन्निपातिकरक्तपित्तम,DISEASE,5,pitta,rakta,high
ITA-5.17.1,Consumption,rājayakṣmā,राजयक्ष्मा,DISEASE,5,,,medium
ITA-5.17.2,Consumption due to,vegarodhajarājayakṣmā,वेगरोधजराजयक्ष्मा,DISEASE,5,,,medium
ITA-5.17.3,Consumption due to,viṣamāśanajarājayakṣmā,विषमाशनजराजयक्ष्मा,DISEASE,5,,,medium
ITA-5.17.4,Consumption due to,kṣayajarājayakṣmā,क्षयजराजयक्ष्मा,DISEASE,5,,,medium
